customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
DBUS-K8429S,Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,47.87,2938.63,No
2XAF-HD0S97,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.01,4016.88,No
TMHI-LIPJMN,Female,1,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,108.98,4200.34,Yes
4D25-9FS30W,Female,0,No,No,71,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,73.63,5709.57,No
7LI1-EK4Z8Z,Male,1,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,62.09,1104.68,No
8GDI-IOUX9Y,Female,0,Yes,No,18,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.44,1384.09,Yes
BNES-4ROTUX,Male,0,No,Yes,47,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.15,2685.22,Yes
SUKO-4XBH18,Male,0,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,37.89,968.69,No
94FF-43570U,Female,0,Yes,No,60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,41.64,2714.35,No
CTLW-ARLXGE,Female,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),112.89,989.04,No
4CPX-DLO0TE,Female,0,Yes,No,0,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),88.1,0.0,No
7N3N-DVGDEC,Male,0,No,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.45,497.11,No
3KOU-1URXZZ,Female,0,Yes,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),41.43,353.91,No
3TGW-2XA09I,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,56.81,1638.45,No
YX0W-DC349D,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),110.7,5481.49,No
4KYJ-BG120O,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),70.32,2366.37,No
80PR-G31LNZ,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),48.49,1277.35,Yes
REPX-3TM3N5,Male,1,Yes,Yes,36,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),75.25,2759.72,No
DOEH-ZGYNH8,Female,1,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),113.09,4123.67,No
2QHQ-EAU91U,Male,0,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),36.75,1564.98,No
Y784-NYOSTE,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.64,3376.79,No
1ICW-WKHYQF,Male,0,No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,68.9,5143.97,No
E2L5-ELVCJ7,Male,0,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),20.0,334.94,No
112D-38I84B,Female,0,No,No,52,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),89.62,4653.37,Yes
39GY-L38Y0Z,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,56.27,3148.8,Yes
R1UZ-77OXMN,Male,0,No,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,101.6,6917.52,No
O77O-64NYTX,Male,1,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,48.22,95.12,No
GW8R-GI3L69,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,32.34,1209.23,Yes
481H-N7OO83,Female,1,No,No,60,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,82.94,5236.2,No
DNW9-87ZRB1,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,34.61,717.32,No
8CB0-KLE8G9,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),95.32,1989.91,Yes
KJUJ-4G9OH0,Female,0,No,No,42,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,47.58,1930.38,No
2BT9-LLS45Y,Male,0,No,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),60.93,3480.3,No
R2RA-D6GG0G,Male,0,No,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,106.79,7172.8,Yes
IDEW-3Z81LB,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,33.48,311.26,No
E6UE-PW9XXU,Male,1,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),36.93,718.05,No
TBWY-Q0X9OB,Male,0,No,No,25,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),58.31,1537.5,No
XXY1-I5OT2V,Male,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.25,3629.14,No
PTSR-VEPDF9,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),77.4,1142.36,No
EZZT-UMQTYA,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,77.88,2769.74,No
BT1B-FKPQNV,Male,0,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),46.43,2675.74,No
I7A9-NOQHVS,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),81.52,5009.48,No
5A95-GTCGOV,Male,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),63.23,1572.79,No
SNF3-B0U4CW,Male,0,No,No,36,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),52.01,1801.43,No
YVC0-V75WHR,Female,0,No,No,71,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),55.65,4312.74,No
PLMT-P9S7C0,Female,1,No,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,50.92,50.6,No
XM6A-HS32Y1,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,45.46,2304.8,No
U003-YWFKKF,Female,1,Yes,Yes,40,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),44.41,1827.79,No
7IEW-XVZRIK,Female,0,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),76.98,2782.82,No
CLMB-FX75E8,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.44,1087.96,No
CWDK-11L4NX,Female,0,Yes,No,49,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.27,4638.95,Yes
NDIN-DIHTMM,Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),45.33,2904.86,No
ERWE-MCRMK5,Female,0,No,No,23,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),39.63,844.07,No
DS9Q-FRE5UD,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),69.04,1510.97,No
T1BZ-ZN4EW3,Male,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,101.79,1324.23,No
MXLK-C1SQWZ,Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),86.17,3390.39,No
C9M7-2SS4UE,Male,0,Yes,No,18,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),112.32,1882.44,Yes
NVV3-FFR0ZQ,Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,51.23,1017.51,No
CERI-ZRDYWI,Female,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.63,2213.11,No
4F9K-TKQKAW,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,47.43,620.0,No
N3M9-8XLQ92,Male,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.77,205.68,No
84ZV-FBOJ51,Female,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,78.61,1753.79,No
8BX6-5Y12Q5,Female,0,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,23.43,1008.5,No
A3UT-XT2VR3,Male,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.67,57.04,No
76TE-RBK9QW,Male,1,No,No,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),93.97,3587.78,No
QEDP-TU1Y6P,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,90.93,7062.48,No
6EIP-C7WWFO,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,68.62,384.2,Yes
X19Q-YGMUMY,Female,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.03,4159.56,Yes
ZTUQ-EGDDOA,Female,0,No,No,57,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,68.11,3869.78,No
MMX1-LDUCG6,Male,1,Yes,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,53.88,737.59,Yes
1K83-BIRHCR,Female,0,No,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,61.74,1867.73,No
Z7JV-NAE8LF,Male,1,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,80.45,1663.99,No
G1RI-P1MM3O,Male,1,No,Yes,63,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,55.79,3277.9,Yes
GVJJ-5H3GT5,Female,0,No,Yes,66,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.28,5665.77,Yes
FL41-N5QXPI,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),46.52,1846.39,No
OBU9-MEB079,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),57.91,105.96,No
5ULT-AL8TCM,Female,0,Yes,No,1,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,45.84,47.52,Yes
JK7W-8GFT2E,Male,1,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),39.68,2225.72,No
GU3E-4FYQ5V,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,72.43,998.39,No
VUQ9-5D5UPD,Male,0,No,Yes,31,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,59.17,1870.77,No
WACT-OPMZBH,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,53.59,57.63,No
5GKX-6SUM0X,Female,0,Yes,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.91,2657.46,No
YFUX-EY1CHV,Female,0,Yes,No,10,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),44.59,478.35,No
GSWS-2S87E4,Female,0,No,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),52.75,2728.51,No
S8A7-S22C1G,Male,1,No,No,64,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),100.35,6633.16,No
B3LR-7ZOZM7,Female,1,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,62.96,4431.2,Yes
7N2E-FX5UAJ,Female,1,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,57.69,3910.84,No
LEO6-2GT5B7,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,87.56,0.0,No
ZW14-OPZ4G7,Male,0,No,No,59,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),75.11,4341.56,No
BOM1-7Q72S4,Female,0,No,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,49.25,2527.73,No
KXI1-X2TRLQ,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),62.77,1512.36,No
